VehicleID,YMMS
74157,2009Porsche911Turbo
73969,2009Porsche911Targa 4
70818,2008Porsche911GT2
147484,2010Porsche911Carrera 4
70806,2008Porsche911Carrera S
73968,2009Porsche911Carrera S
221,1999Porsche911Carrera
177,1986Porsche911Carrera
70807,2008Porsche911Carrera 4S
70803,2008Porsche911GT3
232,2002Porsche911GT2
218,1998Porsche911Carrera 4
70808,2008Porsche911Carrera 4
74156,2009Porsche911GT2
70805,2008Porsche911Targa 4
70810,2008Porsche911Turbo
70804,2008Porsche911Targa 4S
70809,2008Porsche911Carrera
147486,2010Porsche911Carrera S
227,2001Porsche911Carrera 4
70802,2008Porsche911GT3 RS
191497,2012Porsche911Turbo
191494,2012Porsche911Carrera S
191491,2012Porsche911Carrera 4
147488,2010Porsche911Targa 4S
220,1998Porsche911Targa
191496,2012Porsche911Targa 4S
191492,2012Porsche911Carrera 4S
191495,2012Porsche911Targa 4
191490,2012Porsche911Carrera
212,1997Porsche911Carrera 4
214,1997Porsche911Targa
219,1998Porsche911Carrera 4S
208,1996Porsche911Targa
198,1994Porsche911Carrera 2
176,1986Porsche911Turbo Carrera
210,1993Porsche911Carrera 2
22046,1994Porsche911RS America
189,1991Porsche911Carrera 2
195,1993Porsche911Carrera 4
202,1994Porsche911Turbo 3.6
192,1992Porsche911Carrera 2
190,1991Porsche911Carrera 4
62761,1993Porsche911Turbo 3.6
185,1989Porsche911Speedster
180,1988Porsche911Turbo Carrera
206,1996Porsche911Carrera 4
179,1987Porsche911Carrera
175,1985Porsche911Carrera
173,1983Porsche911SC
178,1987Porsche911Turbo Carrera
204,1995Porsche911Carrera 4
217,1998Porsche911Carrera S
205,1996Porsche911Carrera
207,1996Porsche911Carrera 4S
211,1997Porsche911Carrera
172,1982Porsche911SC
216,1998Porsche911Carrera
203,1995Porsche911Carrera
199,1994Porsche911Carrera 4
200,1994Porsche911Speedster
215,1997Porsche911Turbo
209,1996Porsche911Turbo
171,1981Porsche911SC
174,1984Porsche911Carrera
213,1997Porsche911Carrera 4S
252019,2018Porsche911Carrera 4 GTS
252009,2018Porsche911Turbo S
207637,2014Porsche911Carrera 4
203480,2013Porsche911Carrera 4S
252013,2018Porsche911Targa 4
252016,2018Porsche911Targa 4S
203482,2013Porsche911Turbo S
207638,2014Porsche911Carrera 4S
203481,2013Porsche911Turbo
212152,2014Porsche91150th Anniversary Edition
209155,2014Porsche911GT3
207636,2014Porsche911Carrera
252017,2018Porsche911Carrera T
211900,2014Porsche911Targa 4S
203477,2013Porsche911Carrera
203478,2013Porsche911Carrera S
240504,2017Porsche911GT3 RS
240488,2017Porsche911Targa 4S
187,1990Porsche911Carrera 4
240484,2017Porsche911Carrera S
240487,2017Porsche911Targa 4
235972,2016Porsche911Carrera Black Edition
207634,2014Porsche911Turbo
252010,2018Porsche911Turbo
252020,2018Porsche911Targa 4 GTS
252018,2018Porsche911Carrera GTS
252011,2018Porsche911Carrera
203479,2013Porsche911Carrera 4
240486,2017Porsche911Carrera 4S
240483,2017Porsche911Carrera
211899,2014Porsche911Targa 4
153384,2003Porsche911Carrera 4S
228848,2016Porsche911Turbo
237,2003Porsche911Carrera 4
230,2002Porsche911Carrera 4
238,2003Porsche911GT2
226,2001Porsche911Carrera
231,2002Porsche911Carrera 4S
224,2000Porsche911Carrera
225,2000Porsche911Carrera 4
234,2002Porsche911Turbo
229,2002Porsche911Carrera
239565,2002Porsche911Targa
236,2003Porsche911Carrera
240499,2017Porsche911Turbo
73966,2009Porsche911Carrera 4
252021,2018Porsche911Turbo S Exclusive Series
147487,2010Porsche911Targa 4
207635,2014Porsche911Turbo S
73970,2009Porsche911Targa 4S
147489,2010Porsche911Turbo
252023,2018Porsche911GT2 RS
252022,2018Porsche911GT3
207639,2014Porsche911Carrera S
147485,2010Porsche911Carrera 4S
73967,2009Porsche911Carrera 4S
240,2003Porsche911Turbo
73965,2009Porsche911Carrera
147483,2010Porsche911Carrera
147490,2010Porsche911GT3
228,2001Porsche911Turbo
182,1989Porsche911Turbo Carrera
257529,2019Porsche911Carrera 4 GTS
257541,2019Porsche911GT3 RS
257536,2019Porsche911Carrera 4
34982,1970Porsche911S
34978,1969Porsche911E
34985,1971Porsche911S
212041,2015Porsche911Carrera 4S
260583,2020Porsche911Carrera S
34981,1970Porsche911E
56210,2005Porsche911GT3
260584,2020Porsche911Carrera 4S
156931,2011Porsche911Turbo S
56211,2005Porsche911Carrera S
191493,2012Porsche911Carrera GTS
156794,2011Porsche911Carrera S
156930,2011Porsche911Turbo
156797,2011Porsche911Carrera GTS
156795,2011Porsche911Targa 4
191343,2011Porsche911GT3 RS 4.0
156933,2011Porsche911GT3
57598,2007Porsche911Targa 4S
34979,1969Porsche911S
188511,1968Porsche911S
155025,2004Porsche911Carrera 4
54873,2004Porsche911GT2
257530,2019Porsche911Carrera S
34984,1971Porsche911E
34993,1974Porsche911Base
34994,1974Porsche911Carrera
34989,1972Porsche911T
34977,1968Porsche911L
54872,2004Porsche911Carrera
240500,2017Porsche911Turbo S
240505,2017Porsche911R
252015,2018Porsche911Carrera 4S
34980,1969Porsche911T
56960,2006Porsche911Carrera S
54874,2004Porsche911GT3
156796,2011Porsche911Targa 4S
156791,2011Porsche911Carrera
57594,2007Porsche911Carrera 4
156929,2011Porsche911Speedster
57596,2007Porsche911Carrera S
156932,2011Porsche911GT2 RS
191498,2012Porsche911Turbo S
156792,2011Porsche911Carrera 4
57597,2007Porsche911Targa 4
65822,2007Porsche911GT3
57595,2007Porsche911Carrera 4S
57593,2007Porsche911Carrera
69578,2007Porsche911GT3 RS
57391,2007Porsche911Turbo
56206,2005Porsche911Carrera 4S
34992,1973Porsche911T
56209,2005Porsche911GT2
228845,2016Porsche911Targa 4 GTS
212040,2015Porsche911Carrera 4
192010,2012Porsche911Carrera 4 GTS
156793,2011Porsche911Carrera 4S
252012,2018Porsche911Carrera 4
156928,2011Porsche911GT3 RS
235129,2016Porsche911GT3 RS
228849,2016Porsche911Turbo S
211897,2015Porsche911Targa 4
252014,2018Porsche911Carrera S
34990,1973Porsche911E
57070,1992Porsche911Turbo
212039,2015Porsche911Carrera
211898,2015Porsche911Targa 4S
56205,2005Porsche911Carrera
170,1980Porsche911SC
166,1977Porsche911S
168,1978Porsche911SC
56961,2006Porsche911Carrera
167,1977Porsche911Turbo Carrera
54875,2004Porsche911Turbo
54871,2004Porsche911Carrera 4S
214968,2015Porsche911Carrera 4 GTS
34988,1972Porsche911S
56400,2006Porsche911Carrera 4S
56207,2005Porsche911Turbo
56208,2005Porsche911Turbo S
188,1991Porsche911Turbo
196,1993Porsche911RS America
162,1975Porsche911Carrera
186,1990Porsche911Carrera 2
163,1975Porsche911S
181,1988Porsche911Carrera
222,1999Porsche911Carrera 4
34986,1971Porsche911T
183,1989Porsche911Carrera
184,1989Porsche911Carrera 4
165,1976Porsche911Turbo Carrera
193,1992Porsche911Carrera 4
169,1979Porsche911SC
164,1976Porsche911S
228890,2016Porsche911Carrera 4
257539,2019Porsche911Targa 4
34973,1965Porsche911Base
240485,2017Porsche911Carrera 4
257538,2019Porsche911Carrera
228854,2016Porsche911Carrera GTS
257533,2019Porsche911Carrera GTS
34983,1970Porsche911T
257535,2019Porsche911Turbo S
63306,1967Porsche911S
34976,1968Porsche911Base
257534,2019Porsche911Turbo
211895,2015Porsche911Turbo
34975,1967Porsche911Base
257532,2019Porsche911Targa 4S
34995,1974Porsche911S
34974,1966Porsche911Base
